idPlace,name,type,address,city
0,elaborate-hall,hall,"Strada Contrada Bosio, 0",Vercelli
1,cheerful-fort,fort,"Vicolo Via Amanda, 649",Frosinone
2,ecru-mansion,mansion,"Stretto Borgo Agostinelli, 5",Latina
3,poky-shed,shed,"Via Rotonda Legnante, 93",Mantova
4,recursive-hostel,hostel,"Piazza Strada Chiappetta, 47",Campobasso
5,ornery-cafe,cafe,"Strada Via Sabatini, 777",Milano
6,energetic-crypt,crypt,"Rotonda Borgo Delfino, 3",Benevento
7,orange-brownstone,brownstone,"Rotonda Strada Ubaldo, 586",Rovigo
8,current-arch,arch,"Strada Piazza Camiscione, 962",Genova
9,quiet-rowhouse,rowhouse,"Piazza Viale Bianchini, 4",Trani
10,principal-loft,loft,"Stretto Strada Pier, 61",Caserta
11,grandioso-bank,bank,"Vicolo Vicolo Roman, 06",Oristano
12,atomic-silo,silo,"Strada Borgo Ezio, 1",Firenze
13,slow-studio,studio,"Canale Borgo Venditti, 1",Imperia
14,oblique-bunker,bunker,"Via Via Capecchi, 78",Enna
15,skinny-spire,spire,"Strada Viale Volta, 52",Novara
16,ornery-cottage,cottage,"Viale Via Taccola, 4",Benevento
17,antique-bungalow,bungalow,"Borgo Contrada Sommaruga, 770",Lucca
18,spry-temple,temple,"Piazza Incrocio Guarneri, 93",Benevento
19,bitter-manor,manor,"Canale Borgo Jacopo, 2",Salerno
20,dull-cabin,cabin,"Rotonda Piazza Armani, 509",Carbonia
21,asymptotic-shrine,shrine,"Strada Borgo Gravina, 25",Lecco
22,brass-dormitory,dormitory,"Stretto Rotonda Angelo, 5",Cremona
23,corporate-hall,hall,"Contrada Piazza Orlando, 64",Terni
24,blazing-station,station,"Rotonda Incrocio Arsenio, 0",Trapani
25,exponential-lodge,lodge,"Rotonda Stretto Mantegna, 7",L'Aquila
26,late-loft,loft,"Piazza Contrada Mercantini, 649",Enna
27,nuclear-cafe,cafe,"Contrada Piazza Patrizio, 76",Urbino
28,international-chateau,chateau,"Vicolo Stretto Gustavo, 053",Caserta
29,quick-dormitory,dormitory,"Viale Strada Balbi, 91",Caserta
30,happy-cottage,cottage,"Piazza Canale Giulia, 2",Forlì
31,old-museum,museum,"Via Borgo Gigli, 60",Isernia
32,isochoric-refinery,refinery,"Borgo Via Tonisto, 9",Avellino
33,allegro-chapel,chapel,"Contrada Piazza Sauli, 486",Teramo
34,descriptive-lodge,lodge,"Incrocio Viale Priscilla, 245",Olbia
35,great-depot,depot,"Canale Vicolo Sabatino, 19",Viterbo
36,obsolete-barn,barn,"Canale Vicolo Lovato, 242",Andria
37,mute-cabana,cabana,"Contrada Borgo Niggli, 7",Catania
38,glossy-bridge,bridge,"Viale Vicolo Peano, 472",Avellino
39,raw-dormitory,dormitory,"Via Stretto Angelo, 2",Ravenna
40,boolean-depot,depot,"Borgo Piazza Hugo, 4",Trani
41,silver-palace,palace,"Vicolo Via Barbara, 87",Piacenza
42,tense-stadium,stadium,"Canale Via Giulietta, 4",Cuneo
43,long-factory,factory,"Vicolo Contrada Romana, 9",Brescia
44,uniform-gazebo,gazebo,"Via Via Pisacane, 229",Rovigo
45,bordeaux-cafe,cafe,"Incrocio Piazza Giulia, 8",Firenze
46,dark-armory,armory,"Viale Rotonda Bellò, 37",Lecco
47,loyal-tent,tent,"Piazza Vicolo Bragadin, 26",Urbino
48,modern-library,library,"Viale Piazza Ciampi, 031",Novara
49,wooden-restaurant,restaurant,"Vicolo Borgo Mantegna, 066",La Spezia
